Keyword,TotalCount,AcceptedCount,YieldRate
destinasi wisata,38,37,0.9737
tempat wisata,69,34,0.4928
objek wisata,26,21,0.8077
wisata alam,50,16,0.32
pantai,17,17,1.0
pulau wisata,100,20,0.2
gunung wisata,46,21,0.4565
bukit wisata,23,21,0.913
air terjun,3,2,0.6667
danau wisata,9,2,0.2222
waduk wisata,1,1,1.0
gua wisata,5,3,0.6
taman wisata,100,94,0.94
wisata keluarga,100,75,0.75
wisata sejarah,10,6,0.6
desa wisata,13,4,0.3077
museum,86,21,0.2442
waterpark,18,4,0.2222
agrowisata,5,1,0.2
camping ground,10,4,0.4
wisata religi,30,1,0.0333
wisata edukasi,7,6,0.8571
taman kota,100,94,0.94
wisata budaya,16,4,0.25
