field_name,non_null_count,null_count,unknown_count,missing_count,not_applicable_count,false_count,zero_count,semantic_issue_count,audit_notes
name,3130,0,0,0,0,0,0,0,Looks clean.
primary_category,3130,0,0,0,0,0,0,0,Looks clean.
latitude,3130,0,0,0,0,0,0,0,Looks clean.
longitude,3130,0,0,0,0,0,0,0,Looks clean.
official_website,3130,0,0,3047,0,0,0,0,Looks clean.
website_status,3130,0,0,0,0,0,0,0,Looks clean.
operational_status,3130,0,138,0,0,0,0,0,Looks clean.
facilities,3130,0,0,0,0,0,0,0,Looks clean.
has_opening_hours,3130,0,0,0,0,1989,3978,0,Looks clean.
price_validation_scope,3130,0,0,0,0,0,0,0,Looks clean.
price_final_decision,167,2963,2963,2963,2964,0,0,0,Looks clean.
has_local_price_evidence,3130,0,0,0,0,3122,6244,0,Looks clean.
local_price_min,8,3122,3122,3122,3122,0,0,0,Looks clean.
local_price_max,8,3122,3122,3122,3122,0,0,0,Looks clean.
external_verification_status,3130,0,0,0,0,0,0,0,Looks clean.
external_selected_price_count,3130,0,0,0,0,3130,6260,0,Looks clean.
external_price_min,0,3130,3130,3130,3130,0,0,0,Looks clean.
external_price_max,0,3130,3130,3130,3130,0,0,0,Looks clean.
