canonical_id,name,original_priority,free_evidence,evidence_field,evidence_value,source_name,source_record_id,source_url,provenance_exists,provenance_strength,current_decision,audited_decision,audit_reason
can_f766e56533cc,Lungsir (Taman Kota),medium,,name,Lungsir (Taman Kota),place_metadata.parquet,,,False,none,excluded_free,manual_review,Generic public space category or name keyword without explicit free entry evidence in name or description. Moved to manual_review.
can_40a3df3667b4,Lapangan BRAJAASRI,medium,,name,Lapangan BRAJAASRI,place_metadata.parquet,,,False,none,excluded_free,manual_review,Generic public space category or name keyword without explicit free entry evidence in name or description. Moved to manual_review.
can_f720fde0e364,Makam,high,,name,Makam,place_metadata.parquet,,,False,none,excluded_free,manual_review,Generic public space category or name keyword without explicit free entry evidence in name or description. Moved to manual_review.
can_0dede19da9e8,Tugu Payan Mas Kotabumi,medium,,name,Tugu Payan Mas Kotabumi,place_metadata.parquet,,,False,none,excluded_free,manual_review,Generic public space category or name keyword without explicit free entry evidence in name or description. Moved to manual_review.
can_00e73f54493a,TUGU TAMAN HAYATI MEKARSARI,medium,,name,TUGU TAMAN HAYATI MEKARSARI,place_metadata.parquet,,,False,none,excluded_free,manual_review,Generic public space category or name keyword without explicit free entry evidence in name or description. Moved to manual_review.
can_6d344c26c3c7,Taman Merdeka Kota Metro,medium,,name,Taman Merdeka Kota Metro,place_metadata.parquet,,,False,none,excluded_free,manual_review,Generic public space category or name keyword without explicit free entry evidence in name or description. Moved to manual_review.
can_0184d61fb09d,Hutan Kota Stadion Tejosari,medium,,name,Hutan Kota Stadion Tejosari,place_metadata.parquet,,,False,none,excluded_free,manual_review,Generic public space category or name keyword without explicit free entry evidence in name or description. Moved to manual_review.
can_15dc7c773782,Taman Tugu Dodos,medium,,name,Taman Tugu Dodos,place_metadata.parquet,,,False,none,excluded_free,manual_review,Generic public space category or name keyword without explicit free entry evidence in name or description. Moved to manual_review.
can_7ffcb2575c29,Lapangan Banjar Margo,medium,,name,Lapangan Banjar Margo,place_metadata.parquet,,,False,none,excluded_free,manual_review,Generic public space category or name keyword without explicit free entry evidence in name or description. Moved to manual_review.
can_004135856044,Tugu Empat Marga,medium,,name,Tugu Empat Marga,place_metadata.parquet,,,False,none,excluded_free,manual_review,Generic public space category or name keyword without explicit free entry evidence in name or description. Moved to manual_review.
can_198553114e0e,Lapangan Pemuda Ketapang,medium,,name,Lapangan Pemuda Ketapang,place_metadata.parquet,,,False,none,excluded_free,manual_review,Generic public space category or name keyword without explicit free entry evidence in name or description. Moved to manual_review.
can_0f49826fcdf9,Alun-alun Panarangan,medium,,name,Alun-alun Panarangan,place_metadata.parquet,,,False,none,excluded_free,manual_review,Generic public space category or name keyword without explicit free entry evidence in name or description. Moved to manual_review.
can_0568deac000e,TAMAN KOTA Unit II Banjar Agung,medium,,name,TAMAN KOTA Unit II Banjar Agung,place_metadata.parquet,,,False,none,excluded_free,manual_review,Generic public space category or name keyword without explicit free entry evidence in name or description. Moved to manual_review.
