batch_id,mode,cost,status
batch_001,positive,1.27,available
batch_001,negative,1.27,available
batch_001,neutral,2.28,available
batch_001,total,4.82,available
batch_002,positive,,unavailable
batch_002,negative,,unavailable
batch_002,neutral,,unavailable
batch_002,total,,unavailable
batch_003,positive,,unavailable
batch_003,negative,,unavailable
batch_003,neutral,,unavailable
batch_003,total,,unavailable
batch_004,positive,,unavailable
batch_004,negative,,unavailable
batch_004,neutral,,unavailable
batch_004,total,,unavailable
