batch_id,mode,status,apify_run_id,dataset_id,place_count
batch_001,positive,completed,MVrGztxpiTCIXSLsH,OVCrxe8AdxFdcpkHk,70
batch_001,negative,completed,0VCtRHHFadp9JudlV,NbaZzpfCd8mqiMDA3,70
batch_001,neutral,completed,z4UYRSzMdTivVyRD5,P9SOI5koc4zsdBB0e,70
batch_002,positive,completed,Ovc9fBBi5n5h1PPtC,vNxzljfeHXLPZWrSz,70
batch_002,negative,completed,GZ0UmqUzMylgcPkjd,hNzfObHao8pQIj7M9,70
batch_002,neutral,completed,gSzzOYvq6dRom9Fca,uW6MfRxxvygi00axG,70
batch_003,positive,completed,f0f4MNrHFD1qBz5A9,Oy4Ftw9aTDhovACBj,70
batch_003,negative,completed,KXhoSXjOAqQKzBXaW,D9Y1zlUWrC9IwvUbE,70
batch_003,neutral,completed,nhEt6Zw4192Wbn2WA,JvtWjlbifLrxsHHTd,70
batch_004,positive,completed,FkL5zrDrpNvcXdDy7,tmFTuzChWqBn6z7Ye,61
batch_004,negative,completed,D21b4l0vcU3QvnmQV,ZbiVQIoMTwKO4oYeC,61
batch_004,neutral,completed,vUdkOoH0uNQ5heI7k,1UcTDvghQUOKCZGTy,61
